Symbol,train_rows,val_rows,test_rows,total_rows
cavm,1932,252,450,2634
caw,2432,251,445,3128
cb,5479,252,450,6181
cba,383,252,450,1085
cbak,2409,252,449,3110
cban,2101,221,383,2705
cbb,2479,252,450,3181
cbb_b,1092,248,447,1787
cbd,2479,252,450,3181
cbf,573,252,450,1275
cbg,2479,252,450,3181
cbi,2479,252,450,3181
cbio,2194,252,450,2896
cbk,2479,252,450,3181
cbl,2479,252,450,3181
cbl_d,1096,252,450,1798
cbl_e,561,252,449,1262
cbli,2126,252,450,2828
cbm,2479,252,450,3181
cbmg,1546,252,450,2248
cbmx,2442,252,450,3144
cboe,1146,252,450,1848
cbpo,1681,252,450,2383
cbrl,2479,252,450,3181
cbs,2479,252,450,3181
cbs-a,1095,249,434,1778
cbsh,2479,252,450,3181
cbt,2479,252,450,3181
cbu,2479,252,450,3181
cbz,2479,252,450,3181
cca,2461,252,448,3161
ccbg,2479,252,450,3181
ccc,2479,252,450,3181
cccl,1483,248,450,2181
cce,7083,252,450,7785
ccf,2383,252,450,3085
cci,2479,252,450,3181
ccih,1066,252,450,1768
ccj,2478,252,450,3180
cck,2479,252,450,3181
ccl,6549,252,450,7251
cclp,891,252,450,1593
ccm,1270,252,449,1971
ccmp,2479,252,450,3181
ccne,2330,252,450,3032
cco,2299,252,450,3001
ccoi,2479,252,450,3181
ccrn,2479,252,450,3181
ccu,2479,252,450,3181
ccur,2471,252,450,3173
ccv,519,252,449,1220
ccxi,727,252,450,1429
ccz,378,89,133,600
cde,2479,252,450,3181
cdns,2479,252,450,3181
cdor,2455,238,421,3114
cdr,2479,252,450,3181
cdr_b,655,249,434,1338
cdti,2301,252,449,3002
cdw,382,252,450,1084
cdxc,1179,252,450,1881
cdxs,1183,252,450,1885
cdzi,2429,252,450,3131
ce,2479,252,450,3181
cea,2360,252,450,3062
cece,2479,252,450,3181
ceco,4224,252,450,4926
cee,2479,252,448,3179
cef,2479,252,450,3181
cei,2133,252,450,2835
cel,1991,252,449,2692
celg,2479,252,450,3181
celgz,1024,248,414,1686
cem,1138,252,450,1840
cemb,625,250,449,1324
cemi,2029,250,448,2727
cen,319,252,450,1021
cent,2479,252,450,3181
centa,1991,252,450,2693
cenx,2479,252,450,3181
ceo,2478,252,450,3180
ceqp,2479,252,450,3181
cern,2479,252,450,3181
cers,2479,252,450,3181
cet,2478,252,449,3179
cetv,2479,252,450,3181
cev,2479,252,450,3181
ceva,2479,252,450,3181
cf,2364,252,450,3066
cfbk,2120,228,420,2768
cfc_b,1097,252,450,1799
cffi,2110,241,448,2799
cffn,2480,252,450,3182
cfnb,2110,172,425,2707
cfr,2479,252,450,3181
cfr_a,470,252,450,1172
cfx,1675,252,450,2377
cg,670,252,450,1372
cga,1627,252,450,2329
cgen,2478,252,450,3180
cgg,2475,252,444,3171
cgi,2479,252,450,3181
cgix,438,252,450,1140
cgnt,2446,252,449,3147
cgnx,2479,252,450,3181
cgo,2310,252,450,3012
ch,2479,252,450,3181
cha,2474,252,450,3176
chci,2472,251,428,3151
chco,2479,252,450,3181
chd,2479,252,450,3181
chdn,2479,252,450,3181
che,2479,252,450,3181
chef,861,252,450,1563
chfc,2479,252,450,3181
chfn,2241,252,450,2943
chfs,688,252,450,1390
chgg,285,252,450,987
chh,2479,252,450,3181
chi,2479,252,450,3181
chk,2479,252,450,3181
chk_d,1097,252,450,1799
chke,2479,252,450,3181
chkp,4654,252,450,5356
chkr,786,252,450,1488
chl,2479,252,450,3181
chmg,510,230,447,1187
chmi,313,252,450,1015
chn,2479,252,450,3181
chnr,2404,246,430,3080
chrw,4326,252,450,5028
chs,2479,252,450,3181
chsco,316,252,450,1018
chscp,1097,252,449,1798
chsp,1245,252,450,1947
cht,2480,252,450,3182
chtr,1254,252,450,1956
chu,2475,252,450,3177
chuy,614,252,450,1316
chw,1893,252,450,2595
chy,2479,252,450,3181
ci,8259,252,450,8961
cia,2479,252,450,3181
cib,2479,252,450,3181
cidm,2477,252,450,3179
cie,1269,252,450,1971
cien,4503,252,450,5205
cif,2479,252,450,3181
cig,2479,252,450,3181
cig-c,869,195,318,1382
cii,2479,252,450,3181
cik,2479,252,450,3181
cim,1793,252,450,2495
cinf,6240,252,450,6942
cir,2479,252,450,3181
cit,1272,252,450,1974
civb,2266,245,447,2958
cix,2398,227,428,3053
cizn,1725,209,331,2265
cjjd,1224,252,450,1926
ckh,2479,252,450,3181
ckx,1599,206,226,2031
cl,9583,252,450,10285
clar,2433,252,450,3135
clb,2479,252,450,3181
clbs,2311,252,450,3013
clct,2478,252,450,3180
cld,1286,252,450,1988
cldt,1187,252,450,1889
cldx,2479,252,450,3181
clf,2479,252,450,3181
